"","ticker","sigma_term_m","sigma_term_bs","sigma_time_10","sigma_time_30","sigma_time_60","sigma_time_91","sigma_time_122","sigma_time_152","sigma_time_182","sigma_time_273","sigma_time_365","sigma_time_547","sigma_time_730","RI10_m","RI30_m","RI60_m","RI91_m","RI122_m","RI152_m","RI182_m","RI273_m","RI365_m","RI547_m","RI730_m","RI10_bs","RI30_bs","RI60_bs","RI91_bs","RI122_bs","RI152_bs","RI182_bs","RI273_bs","RI365_bs","RI547_bs","RI730_bs","AdRI10_m","AdRI30_m","AdRI60_m","AdRI91_m","AdRI122_m","AdRI152_m","AdRI182_m","AdRI273_m","AdRI365_m","AdRI547_m","AdRI730_m","AdRI10_bs","AdRI30_bs","AdRI60_bs","AdRI91_bs","AdRI122_bs","AdRI152_bs","AdRI182_bs","AdRI273_bs","AdRI365_bs","AdRI547_bs","AdRI730_bs"
"1","AA",0.00216136697096725,0.00445816638666665,0.00433139741481151,0.00867145830250001,0.0136216272520833,0.017671556601382,0.00837952802437496,0.00883530664869045,0.0103815197929445,0.00720155729935434,0.000108600732698361,-0.0110964723888892,-0.0304621934990472,-0.000217003044384425,-0.000217003044384425,-0.000191004338018601,-0.000170441644290271,-5.09685332246533e-05,-4.39074978797579e-05,-4.51656748460287e-05,-1.84622356351175e-05,5.62401709114765e-06,2.42373662885858e-05,4.46898088630335e-05,1.26768971855139e-05,-0.000140443063861112,-0.000152724347756945,-0.000145202090271597,-3.21423085058059e-05,-2.87969754080514e-05,-3.25458978366914e-05,-1.0049050962226e-05,1.19166182300501e-05,2.84362683282556e-05,4.78361094324848e-05,3.74106057820193e-05,3.74106057820193e-05,1.18265944822341e-05,4.51412047025413e-05,3.64529382810742e-05,3.2517923740024e-05,1.1339993346136e-05,9.59560973788895e-06,4.41183011396802e-05,5.02668477343375e-05,5.61749512572845e-05,0.000766635351592937,0.000280485521052325,0.000133364052117387,0.000125275792154291,2.33195818673616e-05,1.54573884843785e-05,2.69278517288737e-05,1.60079134783231e-05,2.4849635425617e-05,3.72180590586047e-05,4.63657461730554e-05
"2","AAL",0.00525494544370534,0.000366267859702452,0.00660469411916666,0.0093041914700893,0.0187213248717261,0.0204025243885486,0.0229877082784821,0.0260685098612302,0.0315220339106114,0.0445875198575625,0.00839192099216777,0.00213085819199993,0.0706190234022224,-0.000134974867546132,-0.000134974867546132,-0.00022443965713368,-0.000166456911481795,-0.000145350515039154,-0.000136931344852137,-0.000144324661906077,-0.000144075364153323,-8.59445355743132e-06,5.71131124626216e-06,-8.95398328198864e-05,-0.000623842625946421,-0.000297930787012895,-0.000305917616867061,-0.000220178643174134,-0.000185421642776883,-0.000169093697378472,-0.000171185527752247,-0.000161982608050769,-2.19880907738776e-05,-3.22594210657675e-06,-9.62366514281095e-05,4.46175710562738e-05,4.46175710562739e-05,4.52619135973127e-05,4.11564718940645e-05,5.79290435334266e-05,6.05059232323555e-05,8.78189937139125e-05,0.000116017518780316,2.98998304911012e-05,3.17407926920139e-05,7.80546904256354e-05,0.00140315487472487,0.000437973244204108,0.000286557321227504,0.000200252345056828,0.000176598916138438,0.000155754110454799,0.000165567481644429,0.000167941470566866,9.05507357831065e-06,5.55584862377236e-06,9.77070146875388e-05
"3","AAOI",-0.00105735290858629,0.03233390617125,0.00474182662872026,0.0163401857033333,0.0261855567714286,0.018489160924,0.0137344106152381,0.0154547942029208,0.0170040957845418,0.0153076282579999,0.141348083838577,0.0335992886276578,-0.0678332636671031,-0.000579917953730654,-0.000579917953730654,-0.000454048494666915,-0.000214796855303146,-0.000121243963310036,-0.000108632546786231,-9.92387290831213e-05,-5.99449859581912e-05,-0.000390151881499077,-6.33576627719271e-05,9.14738503541326e-05,0.00275920795425297,0.000533124015597222,0.000102472489997024,0.000152140057662088,0.000152454881606655,0.000111046789265324,8.42297273994957e-05,6.23673183635534e-05,-0.000298668979910484,-2.31331344864318e-06,0.000137215301148429,0.000400325515128248,0.000400325515128248,0.000274870751130547,8.94964157154156e-05,3.38224918043082e-05,3.22071251664487e-05,4.27330608909567e-05,3.18871405851848e-05,0.000351657597450544,3.73281813261753e-05,0.000102958992748384,0.00197989570547452,0.000393081558406009,0.000121832785636581,0.000172066355779395,0.000161277608245099,0.000124386376188997,8.98477735073134e-05,5.64084558474563e-05,0.000285735962714917,6.46847728170593e-06,0.000135744937889
"4","AAPL",0.000763607092752976,0.00200641027875,0.00145132252416667,0.00282675338699405,0.00392052836666664,0.00492928640894444,0.0057377433424603,0.0066380420194603,0.00729148568940275,0.00763704834533336,0.00991166667873017,0.0158132940074375,0.0220889249711607,-6.87715431413691e-05,-6.8771543141369e-05,-5.26153545652278e-05,-4.57766957823238e-05,-4.07716086041584e-05,-3.86475982020219e-05,-3.5867464816757e-05,-2.51774404856424e-05,-2.50631769478827e-05,-2.75131387837011e-05,-2.92127642169969e-05,5.55087754583335e-05,-2.73447702748015e-05,-3.1901968131944e-05,-3.21195179142246e-05,-3.0584697243527e-05,-3.04712614520414e-05,-2.90388758827074e-05,-2.06250478629427e-05,-2.16582367122744e-05,-2.52411037087523e-05,-2.75102940991927e-05,0.000110820895461037,0.000110820895461037,0.00012656238897114,7.95237438054064e-05,4.66498629015692e-05,3.777782341776e-05,2.06382033754076e-05,2.88040488736405e-06,1.34311071006498e-05,1.48365733794933e-06,1.77276218227459e-05,0.000723803473320117,0.000167387227466014,1.25416724923862e-05,1.21932197969183e-05,2.17619706050828e-05,1.71316745283685e-05,2.34208297748897e-05,2.65839103790398e-05,8.7252195167075e-06,1.64593129784031e-05,2.89806573586221e-05
"5","ABBV",0.000189119627261908,0.00270983546910714,0.00127108490404762,0.00343501545761905,0.00573571279613095,0.00695337424753473,0.00855234508269047,0.00990988967146034,0.0110166092291667,0.014143455456,0.0135785574799256,0.0184361286717291,0.02159432272,-0.000108196527678571,-0.000108196527678571,-9.24432194811507e-05,-7.43324683546464e-05,-6.85510283231849e-05,-6.39524345013055e-05,-5.94917011093668e-05,-5.11147832554509e-05,-3.66833913771608e-05,-3.33583346333953e-05,-2.93221960174495e-05,0.000143875056505952,-2.41726662837302e-05,-5.04312887837301e-05,-4.6632294268435e-05,-4.78894230621584e-05,-4.73687776470605e-05,-4.56416140662611e-05,-4.18813918933805e-05,-2.97773205775848e-05,-2.87500789810274e-05,-2.58691606176615e-05,7.13959109238347e-05,7.13959109238347e-05,8.67345240552166e-05,5.09679712330837e-05,1.88704431825426e-05,1.24729871184764e-05,2.98603291720217e-06,2.30569378824445e-05,1.81089267137171e-06,7.32885318764352e-06,1.78370536231985e-05,0.000635437192272499,0.000164215123474943,3.10709931441722e-05,2.67059961511287e-05,3.90666964237142e-05,3.40291907233876e-05,4.00235679584434e-05,4.78402544094776e-05,1.68443033820179e-05,1.99682882506783e-05,2.73395238770908e-05
"6","ABC",-2.65898691666658e-05,0.00679564118857143,0.00187735712951389,0.005685251126875,0.00799310431785714,0.00903593730677085,0.0119872702770159,0.0142234270094048,0.0166444238702083,0.0179311666909374,0.00747680775656252,0.0112504947821429,0.0175553638071428,-0.000190394699868055,-0.000190394699868055,-0.00013366156978373,-9.9588210724588e-05,-9.84742634932995e-05,-9.37501110432333e-05,-9.15989765899725e-05,-6.57793280589894e-05,-2.05572537691211e-05,-2.06162425069644e-05,-2.4084868049739e-05,0.000491828405905755,3.70130020565479e-05,-1.99577188214284e-05,-2.4618638661532e-05,-4.25543367905282e-05,-4.88670119791668e-05,-5.41141905584445e-05,-4.07894707046374e-05,-1.86620977531805e-06,-8.14415647819272e-06,-1.47393460528375e-05,1.08022612656494e-05,1.08022612656495e-05,4.55161737526373e-05,2.57122288631421e-05,1.1052791987572e-05,1.73246894234514e-05,3.50933083978079e-05,3.77214826859829e-05,1.79370302794114e-05,5.4132389387874e-06,1.2599725655488e-05,0.000287483842872696,0.000103029455134665,5.97423181870464e-07,4.69234054422568e-06,3.3731610152084e-05,3.55274250554939e-05,4.84961444506268e-05,4.67483332207345e-05,1.10668074202489e-05,6.37634252156384e-07,1.62097093122668e-05
"7","ABT",0.000866226556354164,0.000777974374761911,0.00126382301,0.00205901591729167,0.00480236457,0.00605891642850001,0.00643121906224006,0.00678077618933333,0.00761043140216666,0.00943916174716668,0.00780219619565475,0.011342224416,0.0141279834020634,-3.97596453645835e-05,-3.97596453645835e-05,-6.56023002274306e-05,-5.70625260675368e-05,-4.56146926711959e-05,-3.8911510743284e-05,-3.70560705813874e-05,-3.14026930066392e-05,-1.9002656546029e-05,-1.91517328329905e-05,-1.81667901996017e-05,-4.85848635238088e-05,-4.27013847509919e-05,-6.70731699206348e-05,-5.80323302608582e-05,-4.63380712088373e-05,-3.94921172011277e-05,-3.75409726780481e-05,-3.17259610710797e-05,-1.92444433449119e-05,-1.93130713733786e-05,-1.82876835990432e-05,0.000139832793237823,0.000139832793237823,0.000113575443308937,6.82379135201934e-05,4.18067788345317e-05,3.75139108764979e-05,1.94495976107773e-05,3.34484763363276e-06,1.94916275025035e-05,6.87774861276127e-06,6.68164780535078e-06,0.000827897112302259,0.000182743841942205,4.77128742810769e-05,3.81060321435519e-05,3.75153445703931e-05,2.61525302774548e-05,3.19229265702304e-05,3.76848235871768e-05,6.31142614934496e-06,1.05312806430294e-05,1.97580468584725e-05
"8","ACAD",-0.00378366822166666,0.0158922213821429,-0.00316425222393849,-0.00192542022848215,-0.0010081276333333,-0.00145777538282637,0.00966812069316463,0.00813476865149997,-0.00141319988333343,-0.00757999438706249,0.0248114284475446,0.0318708782316976,0.00628514805354128,-6.19415997728171e-05,-6.19415997728171e-05,-4.6259009805556e-05,-2.55592619652779e-05,-0.000110260564875666,-7.84107689024121e-05,-1.30245513095233e-05,1.39059566498016e-05,-7.83427306005787e-05,-6.5181986203591e-05,-1.37928990071342e-05,0.00190564736060814,0.000593921387020834,0.000281672483591269,0.000190659305109552,5.10172187621167e-05,5.10358732279137e-05,9.50847322278917e-05,8.59788123414116e-05,-2.44361837408266e-05,-2.92114384818185e-05,1.31603744227419e-05,0.000117650838829589,0.000117650838829589,0.000132918733730811,9.97411776224522e-05,2.28390933699387e-05,1.98534728263016e-06,4.34811168826414e-05,4.1963802022808e-05,3.98484465520462e-05,3.91525047578392e-05,2.3077566128832e-06,0.00112633511182968,0.000453878929829621,0.000301032779230827,0.000210585603226858,5.98399454005609e-05,6.43754601515867e-05,0.000100702778335709,8.00199498253144e-05,1.15031665452597e-05,2.04296477514694e-05,1.16900111633126e-05
"9","ACB",0.0189162603430357,0.35753748256,0.0624828973011905,0.1496161712175,0.07969242954375,0.0857225728382291,0.0669118067014583,0.0601004957896427,0.0311919021700001,0.0293150729459796,0.193206434978571,0.0882844283367213,-0.0781451859210643,-0.00435666369581548,-0.00435666369581548,-0.00101293615334524,-0.000734135302144983,-0.000393406117691988,-0.000270948917411888,-6.74485814668375e-05,-3.80908886554722e-05,-0.00047750732776859,-0.0001268156636082,0.000132960885293288,0.029505458525881,0.00693071037808333,0.00463075088360416,0.00298697702990957,0.00238217767097165,0.00195682228138393,0.00179310758456044,0.00120227988869605,0.000450222048168298,0.000492235930938352,0.000596825573261732,0.00417707125721307,0.00417707125721307,0.000833758409808872,0.000608834862557253,0.000305984646186261,0.000194523495792106,1.09429132746729e-05,1.00330432824657e-05,0.000439013043720058,0.000100786182162449,0.000144446027687539,0.0287261462771025,0.00679066792089212,0.00465011117924372,0.00300690332802688,0.0023910003976101,0.0019701618683076,0.00179872563066826,0.00119632102617995,0.000463155065363865,0.000501017721668701,0.000595355210002303
"10","ACN",0.000539967455208335,-0.00247499377125,0.00121788935707341,0.00257373316080357,0.00609955341696428,0.00808979635470139,0.00904951663130356,0.0093158702096905,0.0102957637697778,0.0132106202401875,0.0127957201635714,0.0173669579041706,0.0191304846644741,-6.77921901865078e-05,-6.77921901865078e-05,-9.26597660292658e-05,-8.29651527416819e-05,-6.97504030827478e-05,-5.77362023321195e-05,-5.36032764536782e-05,-4.64126475640262e-05,-3.35774046804467e-05,-3.07623225757993e-05,-2.54664619305011e-05,-0.000369288312832342,-0.000168290897735119,-0.000142909119803571,-0.000116096594790675,-9.44632000209309e-05,-7.75714735588191e-05,-7.01689974781746e-05,-5.74564615803571e-05,-4.18375724241682e-05,-3.62741346899828e-05,-2.95965458023618e-05,0.000111800248415898,0.000111800248415898,8.65179775071016e-05,4.23352868460482e-05,1.76710684229798e-05,1.86892192876624e-05,2.9023917384864e-06,1.83548021910197e-05,4.9168793680858e-06,4.73284113004754e-06,1.39813195362501e-05,0.00114860056161079,0.000308333354926332,0.000123548824164013,9.61702966733683e-05,8.56404733824866e-05,6.42318866351462e-05,6.45509513703569e-05,6.34153240964542e-05,2.89045552286013e-05,2.74923439596337e-05,3.10669090617911e-05
