"","ticker","secid","gvkey","cusip","addzip","gind","gsector","gsubind","state","spcsrc","foreign","no_dur","durables","manuf","energy","chemical","bus_eq","telco","utilities","shops","health","finance","fama","sigma_term_m","sigma_term_bs","sigma_time_10","sigma_time_30","sigma_time_60","sigma_time_91","sigma_time_122","sigma_time_152","sigma_time_182","sigma_time_273","sigma_time_365","sigma_time_547","sigma_time_730","RI10_m","RI30_m","RI60_m","RI91_m","RI122_m","RI152_m","RI182_m","RI273_m","RI365_m","RI547_m","RI730_m","RI10_bs","RI30_bs","RI60_bs","RI91_bs","RI122_bs","RI152_bs","RI182_bs","RI273_bs","RI365_bs","RI547_bs","RI730_bs","AdRI10_m","AdRI30_m","AdRI60_m","AdRI91_m","AdRI122_m","AdRI152_m","AdRI182_m","AdRI273_m","AdRI365_m","AdRI547_m","AdRI730_m","AdRI10_bs","AdRI30_bs","AdRI60_bs","AdRI91_bs","AdRI122_bs","AdRI152_bs","AdRI182_bs","AdRI273_bs","AdRI365_bs","AdRI547_bs","AdRI730_bs"
"1","WWR",6646,"015240","96168420","80112","201040","20","20104010","CO","C",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,-0.0258098684567265,0.0436777415956548,NA,0.0170071424206844,0.0598241532980953,0.101877951861562,0.141869560476399,0.186801830839484,0.216425023318292,NA,NA,NA,NA,NA,-0.0014272336959137,-0.0014272336959137,-0.00140316286064054,-0.00137442154863217,-0.00139876117958033,-0.00133096094381878,NA,NA,NA,NA,NA,0.000889019972499011,-0.000269106861707342,-0.000639562750174808,-0.000804850974432327,-0.00094160585028835,-0.000949160888585917,NA,NA,NA,NA,NA,0.00136582970938406,0.00136582970938406,0.0013593921958654,0.00133778032339379,0.00136598183623852,0.00130278532371504,NA,NA,NA,NA,NA,0.000769781406911764,0.000298024151236147,0.000655344575108537,0.000812630048894818,0.000944479642232763,0.000950761513336607,NA,NA,NA,NA
"2","MPAA",8170,"029930","62007110","90503","251010","25","25101010","CA","C",0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-0.000524603257976188,0.00104542836577382,NA,-0.000926296400446437,-0.00132798954291669,0.00309393076768754,0.00444406616657143,0.0053680166250794,0.00576372723820833,NA,NA,NA,NA,NA,1.3389771415675e-05,1.3389771415675e-05,-3.97641101721289e-05,-4.07267985618657e-05,-3.87672360727342e-05,-3.45512664625523e-05,NA,NA,NA,NA,NA,6.57241588740084e-05,3.95569651448417e-05,-2.25110154056454e-05,-2.78576868917837e-05,-2.84380806533262e-05,-2.59247190793105e-05,NA,NA,NA,NA,NA,7.47937579453134e-05,7.47937579453134e-05,4.00655460300535e-06,4.08557332348394e-06,5.98789273091905e-06,6.37564635881033e-06,NA,NA,NA,NA,NA,5.3514406713239e-05,1.06396756160372e-05,3.82928403393746e-05,3.56367613542755e-05,3.13118725977386e-05,2.75253438300003e-05,NA,NA,NA,NA
"3","AIR",100862,"001004","36110","60191","201010","20","20101010","IL","B",0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,0.00111612769047616,0.00209553217238092,NA,0.0169167346837798,0.0327173416770834,0.0277732499240625,0.0324813720780477,0.00979934786734121,-0.00352118747229164,NA,NA,NA,NA,NA,-0.000526686899776787,-0.000526686899776787,-0.000292935409160289,-0.000257092167111242,-5.71264485320069e-05,2.54797536415813e-05,NA,NA,NA,NA,NA,-0.000494040083713295,-0.000510363491745041,-0.000282172722545951,-0.000249064261521859,-5.06829979931598e-05,3.08610969487504e-05,NA,NA,NA,NA,NA,0.000465282913247148,0.000465282913247148,0.000249164744385155,0.00022045094187286,2.43471051901918e-05,5.36553737453233e-05,NA,NA,NA,NA,NA,0.000613278649300542,0.000539280781273845,0.000297954547479681,0.00025684333598435,5.35567899375721e-05,2.92604721980606e-05,NA,NA,NA,NA
"4","AFL",100892,"001449","105510","31999","403010","40","40301020","GA","A-",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,0.000814860799821438,0.00222145420982144,0.00140118122571428,0.00364173616,0.00646861152017857,0.00684216070064584,0.00779949143860122,0.00761231495133334,0.00830808063799999,0.00887526648449999,0.00178660981128968,0.00451416772794939,0.00836978726651781,-5.86320425892846e-05,-9.42291786726189e-05,-9.42291786726189e-05,-6.62340648442242e-05,-5.72510708096703e-05,-4.4720093102052e-05,-4.11715375724096e-05,-2.95252955482731e-05,-2.66232605881711e-06,-6.76290114831436e-06,-1.03492143379402e-05,8.20272984107159e-05,-4.73427316726187e-05,-7.07859551726188e-05,-5.07769944046637e-05,-4.57216166293424e-05,-3.5466189088894e-05,-3.34430023526294e-05,-2.43729387350863e-05,1.19135451652537e-06,-4.19143239145877e-06,-8.422374050269e-06,0.000123809620107599,3.28251921429804e-05,3.28251921429804e-05,2.24634000690899e-05,2.06098455712885e-05,1.19407497602369e-05,1.29959174686677e-05,1.48962996926035e-05,2.84854177773639e-05,1.29039360084091e-05,8.52970570275899e-06,0.000666051292118671,0.000166581297259866,9.97032447014232e-05,6.65588193383929e-05,5.35006910918342e-05,3.83399810333064e-05,3.50436271033191e-05,3.29931029658761e-06,1.42384269419216e-05,3.525796858093e-06,1.55711983316315e-05
"5","AGCO",100896,"025180","108410","30096","201060","20","20106015","GA","B+",0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,0.000689151211726187,0.000541695667619052,NA,0.006175894325625,0.0116626374395238,0.00838459419416668,0.0108828983070635,0.0107089125272619,0.0116494864127778,NA,NA,NA,NA,NA,-0.00018289143712996,-0.00018289143712996,-8.4565307499346e-05,-8.35553040601419e-05,-6.59194823390507e-05,-6.02216219837999e-05,NA,NA,NA,NA,NA,-0.000187806621933532,-0.000185349029531746,-8.618569809393e-05,-8.476395606102e-05,-6.68895846029135e-05,-6.10318172810919e-05,NA,NA,NA,NA,NA,0.000121487450600322,0.000121487450600322,4.07946427242118e-05,4.69140788217601e-05,3.31401389972356e-05,3.20460018800579e-05,NA,NA,NA,NA,NA,0.000307045187520779,0.00021426631906055,0.000101967523027659,9.25430305235118e-05,6.97633765473258e-05,6.26324420317816e-05,NA,NA,NA,NA
"6","AES",100900,"024216","00130H10","22203","551050","55","55105010","VA","B-",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0.00124608493624999,0.00228332405714286,NA,0.002844325108125,0.00444256528,0.00305711813549999,0.00409424943183533,0.00479030315150002,0.00610798834316664,0.0091959951405833,0.00625223620125001,0.00793270297021428,0.00985399420991079,NA,-5.32746723958335e-05,-5.32746723958335e-05,-1.99014637280219e-05,-2.33456106195519e-05,-2.33172251003292e-05,-2.67137549830585e-05,-2.91205501990231e-05,-1.37154829178083e-05,-1.22241645959128e-05,-1.17916565392614e-05,NA,-1.8700035032738e-05,-3.59873537142857e-05,-8.50323163029812e-06,-1.48436506122334e-05,-1.64932835155077e-05,-2.10146389341966e-05,-2.53211394997819e-05,-1.08737319016634e-05,-1.03279321993993e-05,-1.0370781031189e-05,NA,8.12931413380492e-06,8.12931413380492e-06,2.38692010471123e-05,1.32956146188298e-05,9.46211824148594e-06,1.46186512068344e-06,1.53010450418534e-05,1.74322609183727e-05,7.44267256081066e-06,9.97214790408013e-06,NA,0.000137938600619985,6.49046432430902e-05,2.42850565640273e-05,2.26227250747251e-05,1.936707545992e-05,2.26152636848864e-05,4.24751106128321e-06,2.17334052373283e-06,2.61070294984753e-06,1.75196053125514e-05
"7","PLD",100906,"029984","74340W10","94111","601025","60","60102510","CA","A-",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,0.000594996494285706,0.000486461779999989,NA,0.00345610022035714,0.00631720394642857,0.00681737291056249,0.00845880482767263,0.00771232354133335,0.00823461958493056,0.0108893083641875,0.0103570530950149,0.0101803691115833,0.0120186214796926,NA,-9.53701242023811e-05,-9.53701242023811e-05,-6.83777628162284e-05,-6.44574453556306e-05,-4.68245200463661e-05,-4.19759510474992e-05,-3.77081020875525e-05,-2.67453605499429e-05,-1.75235331212022e-05,-1.56488013498725e-05,NA,-9.8987948011905e-05,-9.7179036107143e-05,-6.95704519842033e-05,-6.53470741612512e-05,-4.75385642192984e-05,-4.25722956314867e-05,-3.81056651435442e-05,-2.70427159315476e-05,-1.7721951246039e-05,-1.57974790406748e-05,NA,3.39661376727426e-05,3.39661376727426e-05,2.46070980410942e-05,2.78162201172488e-05,1.4045176704551e-05,1.38003309437572e-05,6.71349315332402e-06,4.40238328623808e-06,2.14330403552122e-06,1.38292927146912e-05,NA,0.000218226513599152,0.000126096325635948,8.53522769179326e-05,7.3126148623743e-05,5.04123561637108e-05,4.41729203821764e-05,1.70320367050455e-05,1.39956435061513e-05,1.00047219964872e-05,2.29463033220373e-05
"8","CLFD",100919,"012482","18482P10","55428","452010","45","45201020","MN","B",0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,6,0.00379623101142851,0.00397866441374996,NA,0.00260121373190475,0.00140619645238099,-0.00645971854305556,-0.00779866740170443,-0.00646562464464284,-0.00257312376750002,NA,NA,NA,NA,NA,3.98339093174585e-05,3.98339093174585e-05,0.000112702742356968,9.50401509273192e-05,6.75122082636273e-05,3.49964548292776e-05,NA,NA,NA,NA,NA,4.59150227281736e-05,4.28744660228161e-05,0.000114707505019841,9.65355066840524e-05,6.87124280157421e-05,3.59988361607142e-05,NA,NA,NA,NA,NA,0.000101237895847097,0.000101237895847097,0.000156473407132102,0.000131681376165701,0.000100291551605442,6.31720749330196e-05,NA,NA,NA,NA,NA,7.33235428590738e-05,1.39571764940116e-05,9.89256800861116e-05,8.87564322215606e-05,6.58386360713297e-05,3.43982114100244e-05,NA,NA,NA,NA
"9","SRPT",100958,"064857","80360710","02142","352010","35","35201010","MA","C",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,10,0.0108286114328571,-0.00801517880089289,0.00296734739260912,0.00457347242499998,-0.00168166658285716,-0.0112526279189097,-0.0124015100867838,0.00377578471397619,0.00945335999056948,0.013575160393979,0.0161671986007689,0.0216891846420979,0.025197215565804,0.0007861264040248,0.000208504633595238,0.000208504633595238,0.000242650981887548,0.000190410832128204,4.64001757821114e-05,7.55632660597607e-06,-1.00606189052083e-05,-1.46262662134569e-05,-1.9854795629325e-05,-1.96830193602012e-05,-0.0010982526193502,-0.000419621707529762,-0.000105558536967262,3.5576363934251e-05,3.59535351302531e-05,-7.75721283872965e-05,-9.59809823706723e-05,-7.90854915563072e-05,-6.62530887716761e-05,-5.43041379213726e-05,-4.54964306393108e-05,0.000968568066721684,0.000269908620124877,0.000269908620124877,0.000286421646662682,0.000227052057366586,7.91795191239265e-05,3.5731946709718e-05,3.43609763356683e-05,1.65214776227241e-05,1.879584726016e-07,1.786351072502e-05,0.00184633120987959,0.00053886027311701,0.000134475826496067,1.97945390005218e-05,2.81744606677613e-05,8.04459203317089e-05,9.75816071213621e-05,5.80118631178085e-05,5.32060163462798e-05,4.65869086718208e-05,5.26452549206733e-05
"10","AXTI",100963,"110760","00246W10","94538-6339","453010","45","45301010","CA","B-",0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,6,0.00487937886672621,0.0172235520576785,NA,-0.0172802704928572,-0.0394399198524405,-0.0231290839934375,-0.02970028142599,-0.00473939610361907,0.0109280151418749,NA,NA,NA,NA,NA,0.000738654978652779,0.000738654978652779,0.000307785306155645,0.000283439838464887,6.32814142785873e-05,-3.32342652480697e-05,NA,NA,NA,NA,NA,0.00115012741835119,0.000944391198501984,0.000443435561001275,0.00038462158593171,0.000144493080008537,3.45908621747452e-05,NA,NA,NA,NA,NA,0.000800058965182417,0.000800058965182417,0.000351555970930779,0.000320081063703269,9.60607576204024e-05,5.05864514432777e-06,NA,NA,NA,NA,NA,0.00103088885276394,0.000915473908973179,0.000427653736067546,0.000376842511469218,0.000141619288064125,3.29902374240555e-05,NA,NA,NA,NA
