ticker,date,days,impl_volatility,post,key
True,2020-11-03,30,1.190887,0,30_0
True,2020-11-03,60,1.1438375,0,60_0
True,2020-11-03,91,1.1158755,0,91_0
True,2020-11-03,122,1.0412675,0,122_0
True,2020-11-03,152,1.033263,0,152_0
True,2020-11-04,30,1.1837745000000002,1,30_1
True,2020-11-04,60,1.119475,1,60_1
True,2020-11-04,91,1.0921150000000002,1,91_1
True,2020-11-04,122,1.024313,1,122_1
True,2020-11-04,152,1.018184,1,152_1
A,2020-11-03,30,0.3467605,0,30_0
A,2020-11-03,60,0.331304,0,60_0
A,2020-11-03,91,0.33365449999999996,0,91_0
A,2020-11-03,122,0.33255250000000003,0,122_0
A,2020-11-03,152,0.3120405,0,152_0
A,2020-11-03,182,0.303622,0,182_0
A,2020-11-03,273,0.295673,0,273_0
A,2020-11-03,365,0.281598,0,365_0
A,2020-11-03,547,0.2827655,0,547_0
A,2020-11-03,730,0.28418299999999996,0,730_0
A,2020-11-04,30,0.32288700000000004,1,30_1
A,2020-11-04,60,0.30678649999999996,1,60_1
A,2020-11-04,91,0.29004949999999996,1,91_1
A,2020-11-04,122,0.28463099999999997,1,122_1
A,2020-11-04,152,0.28629499999999997,1,152_1
A,2020-11-04,182,0.287,1,182_1
A,2020-11-04,273,0.2839185,1,273_1
A,2020-11-04,365,0.2785295,1,365_1
A,2020-11-04,547,0.277718,1,547_1
A,2020-11-04,730,0.27572399999999997,1,730_1
AA,2020-11-03,10,0.6762585,0,10_0
AA,2020-11-03,30,0.637705,0,30_0
AA,2020-11-03,60,0.622851,0,60_0
AA,2020-11-03,91,0.617281,0,91_0
AA,2020-11-03,122,0.5981595,0,122_0
AA,2020-11-03,152,0.5976714999999999,0,152_0
AA,2020-11-03,182,0.598725,0,182_0
AA,2020-11-03,273,0.5906415,0,273_0
AA,2020-11-03,365,0.5858065,0,365_0
AA,2020-11-03,547,0.58678,0,547_0
AA,2020-11-03,730,0.5812805000000001,0,730_0
AA,2020-11-04,10,0.590063,1,10_1
AA,2020-11-04,30,0.5777779999999999,1,30_1
AA,2020-11-04,60,0.5750935,1,60_1
AA,2020-11-04,91,0.5762805,1,91_1
AA,2020-11-04,122,0.583512,1,122_1
AA,2020-11-04,152,0.585289,1,152_1
AA,2020-11-04,182,0.586598,1,182_1
AA,2020-11-04,273,0.5849869999999999,1,273_1
AA,2020-11-04,365,0.5857425,1,365_1
AA,2020-11-04,547,0.5911200000000001,1,547_1
AA,2020-11-04,730,0.5902565,1,730_1
AAIC,2020-11-03,30,0.6864415,0,30_0
AAIC,2020-11-03,60,0.6864415,0,60_0
AAIC,2020-11-03,91,0.6864415,0,91_0
AAIC,2020-11-03,122,0.6864415,0,122_0
AAIC,2020-11-03,152,0.6864415,0,152_0
AAIC,2020-11-04,30,0.73637,1,30_1
AAIC,2020-11-04,60,0.710296,1,60_1
AAIC,2020-11-04,91,0.6963465,1,91_1
AAIC,2020-11-04,122,0.6861535000000001,1,122_1
AAIC,2020-11-04,152,0.6784185,1,152_1
AAL,2020-11-03,10,0.800362,0,10_0
AAL,2020-11-03,30,0.832439,0,30_0
AAL,2020-11-03,60,0.8315144999999999,0,60_0
AAL,2020-11-03,91,0.8122130000000001,0,91_0
AAL,2020-11-03,122,0.8101119999999999,0,122_0
AAL,2020-11-03,152,0.8174355,0,152_0
AAL,2020-11-03,182,0.8229660000000001,0,182_0
AAL,2020-11-03,273,0.835638,0,273_0
AAL,2020-11-03,365,0.8442195,0,365_0
AAL,2020-11-03,547,0.8524365,0,547_0
AAL,2020-11-03,730,0.8485635,0,730_0
AAL,2020-11-04,10,0.688579,1,10_1
AAL,2020-11-04,30,0.7840914999999999,1,30_1
AAL,2020-11-04,60,0.782807,1,60_1
AAL,2020-11-04,91,0.7766535,1,91_1
AAL,2020-11-04,122,0.7802555,1,122_1
AAL,2020-11-04,152,0.790558,1,152_1
AAL,2020-11-04,182,0.7960069999999999,1,182_1
AAL,2020-11-04,273,0.8106375,1,273_1
AAL,2020-11-04,365,0.840781,1,365_1
AAL,2020-11-04,547,0.8518605,1,547_1
AAL,2020-11-04,730,0.8340755,1,730_1
AAOI,2020-11-03,10,1.0909840000000002,0,10_0
AAOI,2020-11-03,30,0.9300155,0,30_0
AAOI,2020-11-03,60,0.853889,0,60_0
AAOI,2020-11-03,91,0.795597,0,91_0
AAOI,2020-11-03,122,0.7861595,0,122_0
AAOI,2020-11-03,152,0.7806120000000001,0,152_0
AAOI,2020-11-03,182,0.773375,0,182_0
AAOI,2020-11-03,273,0.7743709999999999,0,273_0
AAOI,2020-11-03,365,0.8319775,0,365_0
AAOI,2020-11-03,547,0.7537795,0,547_0
AAOI,2020-11-03,730,0.7055830000000001,0,730_0
AAOI,2020-11-04,10,1.0347715,1,10_1
AAOI,2020-11-04,30,0.8530365,1,30_1
AAOI,2020-11-04,60,0.786859,1,60_1
AAOI,2020-11-04,91,0.762741,1,91_1
AAOI,2020-11-04,122,0.7679045,1,122_1
AAOI,2020-11-04,152,0.764024,1,152_1
AAOI,2020-11-04,182,0.7580005,1,182_1
AAOI,2020-11-04,273,0.765193,1,273_1
AAOI,2020-11-04,365,0.771102,1,365_1
AAOI,2020-11-04,547,0.743441,1,547_1
AAOI,2020-11-04,730,0.721986,1,730_1
AAON,2020-11-03,30,0.446292,0,30_0
AAON,2020-11-03,60,0.470609,0,60_0
AAON,2020-11-03,91,0.4769675,0,91_0
AAON,2020-11-03,122,0.3922075,0,122_0
AAON,2020-11-03,152,0.384143,0,152_0
AAON,2020-11-04,30,0.641678,1,30_1
AAON,2020-11-04,60,0.5396989999999999,1,60_1
AAON,2020-11-04,91,0.5031415,1,91_1
AAON,2020-11-04,122,0.3563585,1,122_1
AAON,2020-11-04,152,0.3414515,1,152_1
AAP,2020-11-03,30,0.410876,0,30_0
AAP,2020-11-03,60,0.3799585,0,60_0
AAP,2020-11-03,91,0.3673685,0,91_0
AAP,2020-11-03,122,0.36282250000000005,0,122_0
AAP,2020-11-03,152,0.36286799999999997,0,152_0
AAP,2020-11-03,182,0.36229750000000005,0,182_0
AAP,2020-11-03,273,0.3663565,0,273_0
AAP,2020-11-03,365,0.37802199999999997,0,365_0
AAP,2020-11-03,547,0.382687,0,547_0
AAP,2020-11-03,730,0.386621,0,730_0
AAP,2020-11-04,30,0.40429899999999996,1,30_1
AAP,2020-11-04,60,0.380259,1,60_1
AAP,2020-11-04,91,0.3717745,1,91_1
AAP,2020-11-04,122,0.3696605,1,122_1
AAP,2020-11-04,152,0.36754549999999997,1,152_1
AAP,2020-11-04,182,0.3628575,1,182_1
AAP,2020-11-04,273,0.3644145,1,273_1
AAP,2020-11-04,365,0.3753385,1,365_1
AAP,2020-11-04,547,0.379492,1,547_1
AAP,2020-11-04,730,0.382017,1,730_1
AAPL,2020-11-03,10,0.433195,0,10_0
AAPL,2020-11-03,30,0.397811,0,30_0
AAPL,2020-11-03,60,0.3870745,0,60_0
AAPL,2020-11-03,91,0.3886495,0,91_0
AAPL,2020-11-03,122,0.38778250000000003,0,122_0
AAPL,2020-11-03,152,0.384976,0,152_0
AAPL,2020-11-03,182,0.3820785,0,182_0
AAPL,2020-11-03,273,0.370912,0,273_0
AAPL,2020-11-03,365,0.365514,0,365_0
AAPL,2020-11-03,547,0.363825,0,547_0
AAPL,2020-11-03,730,0.3636645,0,730_0
AAPL,2020-11-04,10,0.38869600000000004,1,10_1
AAPL,2020-11-04,30,0.3667545,1,30_1
AAPL,2020-11-04,60,0.36518550000000005,1,60_1
AAPL,2020-11-04,91,0.3706725,1,91_1
