ticker,10_0,10_1,122_0,122_1,152_0,152_1,182_0,182_1,273_0,273_1,30_0,30_1,365_0,365_1,547_0,547_1,60_0,60_1,730_0,730_1,91_0,91_1
True,,,1.0412675,1.024313,1.033263,1.018184,,,,,1.190887,1.1837745000000002,,,,,1.1438375,1.119475,,,1.1158755,1.0921150000000002
A,,,0.33255250000000003,0.28463099999999997,0.3120405,0.28629499999999997,0.303622,0.287,0.295673,0.2839185,0.3467605,0.32288700000000004,0.281598,0.2785295,0.2827655,0.277718,0.331304,0.30678649999999996,0.28418299999999996,0.27572399999999997,0.33365449999999996,0.29004949999999996
AA,0.6762585,0.590063,0.5981595,0.583512,0.5976714999999999,0.585289,0.598725,0.586598,0.5906415,0.5849869999999999,0.637705,0.5777779999999999,0.5858065,0.5857425,0.58678,0.5911200000000001,0.622851,0.5750935,0.5812805000000001,0.5902565,0.617281,0.5762805
AAIC,,,0.6864415,0.6861535000000001,0.6864415,0.6784185,,,,,0.6864415,0.73637,,,,,0.6864415,0.710296,,,0.6864415,0.6963465
AAL,0.800362,0.688579,0.8101119999999999,0.7802555,0.8174355,0.790558,0.8229660000000001,0.7960069999999999,0.835638,0.8106375,0.832439,0.7840914999999999,0.8442195,0.840781,0.8524365,0.8518605,0.8315144999999999,0.782807,0.8485635,0.8340755,0.8122130000000001,0.7766535
AAOI,1.0909840000000002,1.0347715,0.7861595,0.7679045,0.7806120000000001,0.764024,0.773375,0.7580005,0.7743709999999999,0.765193,0.9300155,0.8530365,0.8319775,0.771102,0.7537795,0.743441,0.853889,0.786859,0.7055830000000001,0.721986,0.795597,0.762741
AAON,,,0.3922075,0.3563585,0.384143,0.3414515,,,,,0.446292,0.641678,,,,,0.470609,0.5396989999999999,,,0.4769675,0.5031415
AAP,,,0.36282250000000005,0.3696605,0.36286799999999997,0.36754549999999997,0.36229750000000005,0.3628575,0.3663565,0.3644145,0.410876,0.40429899999999996,0.37802199999999997,0.3753385,0.382687,0.379492,0.3799585,0.380259,0.386621,0.382017,0.3673685,0.3717745
AAPL,0.433195,0.38869600000000004,0.38778250000000003,0.3721875,0.384976,0.370407,0.3820785,0.36863,0.370912,0.361284,0.397811,0.3667545,0.365514,0.35603,0.363825,0.3536715,0.3870745,0.36518550000000005,0.3636645,0.35302500000000003,0.3886495,0.3706725
AAT,,,0.49705699999999997,0.48085900000000004,0.493074,0.4867395,,,,,0.4363465,0.5016335000000001,,,,,0.404943,0.4580375,,,0.4134465,0.43987350000000003
AAWW,,,0.567973,0.5150859999999999,0.5637995,0.518629,0.562774,0.5202875,0.556916,0.5204135,0.6296135,0.5500905,0.5439095,0.518289,,,0.5810865000000001,0.5135270000000001,,,0.5678955,0.5101644999999999
AAXJ,,,0.221165,0.1994365,0.22053299999999998,0.19995200000000002,0.219046,0.200635,,,0.246555,0.20053300000000002,,,,,0.24556050000000001,0.2015065,,,0.221355,0.1992085
AB,,,0.30368300000000004,0.29198,0.2975045,0.28885099999999997,,,,,0.34923550000000003,0.3401885,,,,,0.346412,0.328034,,,0.3436495,0.3203785
ABB,,,0.285057,0.2714555,0.28767600000000004,0.273625,0.2851905,0.27304150000000005,0.28297700000000003,0.2780905,0.302027,0.26795599999999997,0.276459,0.27866100000000005,0.26725,0.270011,0.29968,0.267637,0.2618555,0.2591755,0.28478400000000004,0.271157
ABBV,0.35769850000000003,0.3097045,0.301852,0.271015,0.30047500000000005,0.271764,0.300943,0.274432,0.2994525,0.2767965,0.32500249999999997,0.2770785,0.29820250000000004,0.282046,0.3003535,0.28586500000000004,0.306994,0.2648685,0.299743,0.287039,0.30271950000000003,0.269042
ABC,0.48808799999999997,0.4369445,0.3700455,0.3349225,0.36685900000000005,0.3331735,0.365941,0.3329665,0.35790849999999996,0.333986,0.428296,0.3683495,0.341237,0.3335875,0.342586,0.334936,0.39356800000000003,0.348317,0.344534,0.33562400000000003,0.372197,0.3369095
ABCB,,,0.555393,0.5170710000000001,0.556513,0.521401,,,,,0.6027595,0.532961,,,,,0.5753045,0.519236,,,0.5680115,0.5174245
ABEV,,,0.4256365,0.440563,0.4256675,0.44198,0.4266635,0.4776765,0.48078449999999995,0.9405920000000001,0.4256365,0.440539,0.48126250000000004,1.2311364999999999,0.476891,0.949894,0.4256365,0.440539,0.468129,1.2268080000000001,0.4256365,0.440539
ABG,,,0.528562,0.511059,0.5270250000000001,0.5114730000000001,,,,,0.6280524999999999,0.567021,,,,,0.5778295,0.528456,,,0.5532395,0.514899
ABM,,,0.433767,0.4271415,0.43482299999999996,0.4275505,,,,,0.5075225,0.475112,,,,,0.452361,0.442004,,,0.428438,0.428465
ABMD,,,0.4767145,0.4512755,0.476329,0.4534665,0.4739115,0.454876,0.4720605,0.45685,0.4727215,0.42035449999999996,0.466762,0.456698,,,0.46391899999999997,0.4193565,,,0.4680195,0.433209
ABR,,,0.4309475,0.4098535,0.43279749999999995,0.4106655,0.4329285,0.410661,0.47598300000000004,0.4507175,0.42140299999999997,0.3961485,0.48539699999999997,0.47837050000000003,0.4874945,0.4801495,0.413773,0.3958785,0.4573935,0.451011,0.412706,0.397592
ABT,0.356796,0.308958,0.31796749999999996,0.296343,0.314266,0.29584,0.312878,0.295559,0.3087765,0.2943295,0.3300945,0.302765,0.301391,0.292318,0.3002325,0.2914005,0.3251075,0.2924465,0.2970095,0.2886825,0.32244150000000005,0.29527950000000003
ABTX,,,0.428709,0.471144,0.4344525,0.46655100000000005,0.43718100000000004,0.4667695,,,0.44249550000000004,0.518473,,,,,0.434653,0.5066875,,,0.4273655,0.467367
ABUS,,,1.208552,1.3545685,1.2588975,1.415716,1.3733,1.5166645,1.4578000000000002,1.7972905,1.4197294999999999,1.531198,1.3215970000000001,1.557213,1.137465,1.039816,1.285032,1.406507,1.1141915,1.0382375000000001,1.23035,1.3578670000000002
ACA,,,0.4017035,0.3788805,0.43110099999999996,0.411513,0.440463,0.420238,,,0.4454705,0.3743035,,,,,0.4286955,0.3501035,,,0.3914425,0.3668595
ACAD,0.714663,0.7684285,0.583908,0.5665495,0.585955,0.5743315,0.5921259999999999,0.5937760000000001,0.5983555,0.604174,0.667529,0.6795355000000001,0.5860225,0.5712200000000001,0.5825935,0.5698529999999999,0.615506,0.6189359999999999,0.5781324999999999,0.576253,0.5948675,0.598251
ACB,1.7761715,1.2570665,1.287833,1.2330055,1.2623715,1.222269,1.216278,1.1983920000000001,1.181715,1.1702095,1.866986,1.492937,1.157519,1.098389,1.1433464999999998,1.1254195,1.408538,1.2842395,1.1228764999999998,1.1348250000000002,1.3155055,1.221953
ACC,,,0.36966699999999997,0.3688325,0.3756815,0.360398,0.38294700000000004,0.3470075,,,0.4137035,0.416181,,,,,0.39598350000000004,0.401474,,,0.3665615,0.357815
ACCD,,,0.7038025,0.6826194999999999,0.705606,0.681245,,,,,0.68623,0.671191,,,,,0.6920065,0.679088,,,0.700401,0.682987
ACCO,,,0.5880655,0.4156355,0.5620685,0.4911955,0.5307845,0.546879,,,1.0496205,0.5129969999999999,,,,,0.6276495,0.5070545,,,0.6117385,0.3907955
ACEL,,,0.7574865,0.7553974999999999,0.760285,0.7580695,,,,,0.8452649999999999,0.7662905,,,,,0.77458,0.748076,,,0.7465765,0.743979
ACER,,,,1.822699,,1.802377,,,,,,2.007662,,,,,,1.925585,,,,1.8609805000000001
ACES,,,0.4926555,0.469571,0.483847,0.45950599999999997,0.4638775,0.438941,,,0.6163655,0.5080705,,,,,0.6060194999999999,0.505432,,,0.494699,0.470916
ACGL,,,0.4115235,0.3983455,0.4056775,0.3918735,0.393301,0.3786505,,,0.4191735,0.4164485,,,,,0.4156035,0.4145585,,,0.4088,0.395678
ACGN,,,1.9390905,1.948119,1.6033335000000002,1.8424155,1.5521035,1.866884,,,1.8875395,1.827186,,,,,2.016357,1.923453,,,2.018859,1.984458
ACHC,,,0.4755335,0.5495165,0.490047,0.5338335000000001,0.51839,0.5009224999999999,,,0.6150105,0.5014105,,,,,0.5974349999999999,0.5025705,,,0.4771845,0.549814
ACHHY,,,0.3722815,0.351854,0.373564,0.362969,0.3741805,0.3662905,,,0.3781485,0.38488750000000005,,,,,0.37569949999999996,0.3762605,,,0.3717125,0.3482005
ACI,,,0.397839,0.383931,0.39875950000000004,0.38541499999999995,0.39922749999999996,0.385699,0.41695150000000003,0.403393,0.3878515,0.3572735,0.41716050000000005,0.4116145,0.420854,0.4183205,0.3883785,0.3636145,0.4297565,0.41426,0.389407,0.36710200000000004
ACIU,,,0.9172605,1.1460905000000001,1.0317505,1.130071,1.0588069999999998,1.1241115,,,1.1516825,1.174736,,,,,1.121303,1.145578,,,0.8930285,1.1547494999999999
ACIW,,,0.445249,0.447231,0.4561885,0.450465,0.461963,0.4523585,,,0.5323225,0.4961575,,,,,0.513968,0.4858255,,,0.4434055,0.4472045
ACLS,,,0.5282070000000001,0.5261935,0.5324985,0.5243745,0.5381715,0.5206565000000001,0.5567139999999999,0.531826,0.5891005,0.5212435,,,,,0.58745,0.5195565,,,0.5254125000000001,0.5251975
ACM,,,0.44287,0.3735935,0.4390835,0.3791415,0.4315215,0.386433,0.3882495,0.3670855,0.523252,0.467995,0.347574,0.3505835,0.3374065,0.34653999999999996,0.516607,0.464768,0.3480205,0.337649,0.4445095,0.3729695
ACMR,,,0.8441475,0.8391500000000001,0.8617935,0.8560075,0.8687885,0.8624385,,,0.886417,0.8783555000000001,,,,,0.8706735,0.8665525000000001,,,0.8391265,0.8331740000000001
ACN,0.3303585,0.280082,0.3174855,0.286539,0.31210000000000004,0.2862895,0.311244,0.287432,0.3093165,0.288933,0.327229,0.2923345,0.303942,0.289044,0.29804299999999995,0.284304,0.3427445,0.30307700000000004,0.290489,0.27889050000000004,0.3274425,0.29123200000000005
ACNT,,,1.0879335,1.7535815,1.0800645,1.7507665,1.0720955,1.7467715,,,1.7833195,1.596489,,,,,1.544851,2.0695255,,,1.0950125,1.7543815
ACR,,,1.1271335,0.8475275,1.1271335,0.8475275,1.1271339999999999,0.8475275,,,1.1267285,0.8475275,,,,,1.1271114999999998,0.8475275,,,1.127127,0.8475275
ACRE,,,0.441643,0.44587200000000005,0.5087364999999999,0.5428085,0.528457,0.5506420000000001,,,0.3351235,0.3509985,,,,,0.3294625,0.377559,,,0.425916,0.4167345
ACRS,,,1.2995234999999998,1.547237,1.248644,1.323382,1.151999,1.248364,,,1.492699,1.7495439999999998,,,,,1.652585,2.102827,,,1.661102,1.5149920000000001
ACRX,,,1.052151,1.355959,1.0497885,1.3559595,1.0477175,1.3559595,,,1.0631095,1.3558945,,,,,1.058394,1.3559525,,,1.054921,1.3559565
ACTG,,,0.8306485,0.8082834999999999,0.806433,0.7990934999999999,0.7998810000000001,0.7887905,,,0.956704,0.881616,,,,,0.9564429999999999,0.880847,,,0.903313,0.8386465
ACWI,,,0.22343,0.2157015,0.22157749999999998,0.21532,0.2214295,0.215365,0.2213505,0.216509,0.24825049999999999,0.23458250000000003,0.21921449999999998,0.220105,0.2080845,0.200904,0.2480275,0.2264225,0.20171699999999998,0.192282,0.244105,0.222252
ACWV,,,0.1696455,0.1722705,0.1685305,0.1708305,,,,,0.1958325,0.1844485,,,,,0.185344,0.1921065,,,0.1795485,0.190589
ACWX,,,0.2186845,0.20323999999999998,0.216922,0.202176,0.2126695,0.197657,,,0.23398200000000002,0.263965,,,,,0.230432,0.26318,,,0.219383,0.201447
ADAP,,,1.262359,1.258041,1.2415189999999998,1.252217,1.199681,1.2423015,,,1.558595,1.6064195,,,,,1.5497075,1.604596,,,1.2708370000000002,1.2709155
ADBE,0.419479,0.3696395,0.400291,0.3634805,0.39700250000000004,0.364799,0.392726,0.365516,0.38803699999999997,0.3658715,0.410582,0.3590015,0.38190749999999996,0.3638995,0.37112900000000004,0.360003,0.417354,0.3645185,0.365611,0.358321,0.404589,0.3605225
ADC,,,0.32888249999999997,0.3180015,0.32063050000000004,0.317355,,,,,0.34502999999999995,0.33726849999999997,,,,,0.40816399999999997,0.355636,,,0.414082,0.3362595
ADCT,,,0.8656505000000001,0.8255895,0.8572705,0.8330329999999999,,,,,1.0767799999999998,1.273088,,,,,1.007546,0.8048694999999999,,,0.971755,0.7962750000000001
ADEA,,,0.6171275,0.598325,0.613831,0.5945255,0.6066564999999999,0.586728,,,0.6800425,0.6396065,,,,,0.6700109999999999,0.6360555,,,0.61633,0.5976285
ADI,0.386764,0.320442,0.335112,0.3213935,0.3326585,0.323041,0.3274645,0.3234265,0.32301250000000004,0.3209665,0.3851715,0.36387400000000003,0.31710150000000004,0.31162500000000004,0.3209735,0.314426,0.35199800000000003,0.32830550000000003,0.32192750000000003,0.3159825,0.33630499999999997,0.3181665
ADM,0.35176399999999997,0.2969955,0.2966545,0.275315,0.2931005,0.27369699999999997,0.28708449999999996,0.2709535,0.283248,0.270286,0.33108249999999995,0.287652,0.2738085,0.269949,0.279025,0.2691035,0.32064899999999996,0.283517,0.2917505,0.267149,0.2974475,0.27803500000000003
ADMA,,,1.2267145,1.2158405,1.2169825,1.215824,1.210442,1.2176429999999998,1.3242295,1.3825509999999999,1.2835725,1.2220575,1.6442299999999999,1.7497505,1.6345745,1.6799944999999998,1.2564855000000001,1.216987,1.575643,1.518391,1.2395695,1.2159745
ADMS,,,1.3077115,1.3518685,1.3659664999999999,1.2821815,1.506337,1.2799105,,,1.5495169999999998,1.427693,,,,,1.4080025,1.415857,,,1.3467924999999998,1.385548
ADNT,,,0.7685059999999999,0.7679860000000001,0.768926,0.7694175,0.770742,0.7708815,0.771452,0.7699285,0.8391635,0.811419,0.775001,0.773119,,,0.796759,0.7761165,,,0.783192,0.765687
ADP,0.35024849999999996,0.3013965,0.3188605,0.2904145,0.316255,0.288422,0.31498349999999997,0.287382,0.3053045,0.283212,0.3409645,0.29913999999999996,0.2845405,0.27494399999999997,0.2868485,0.2784795,0.325643,0.29152100000000003,0.289457,0.283192,0.319434,0.2905305
ADPT,,,0.6237995000000001,0.625183,0.6273295000000001,0.6283384999999999,,,,,0.6731944999999999,0.6443895,,,,,0.630917,0.6187625000000001,,,0.6199349999999999,0.6183925
ADSK,0.47833349999999997,0.3966805,0.439629,0.41516,0.4382475,0.4141095,0.4376565,0.413497,0.418516,0.39786849999999996,0.49547949999999996,0.4442805,0.41379900000000003,0.3946145,0.4113735,0.3927545,0.466554,0.422899,0.405955,0.3887485,0.448186,0.4157955
ADT,,,0.591528,0.5914845,0.6189724999999999,0.6014729999999999,0.6230610000000001,0.6037049999999999,0.674092,0.589402,0.616881,0.625083,0.688461,0.571215,0.7199325,0.62259,0.591715,0.5989184999999999,0.7440685,0.6748635000000001,0.5873744999999999,0.5934325
ADTN,,,0.5669474999999999,0.5282635,0.5592455,0.5302994999999999,0.556831,0.531392,,,0.578893,0.520278,,,,,0.5664405,0.5209779999999999,,,0.5667184999999999,0.5255775
ADUS,,,0.3686755,0.34652249999999996,0.3682565,0.34779400000000005,,,,,0.387671,0.3508115,,,,,0.3776575,0.3327835,,,0.37451650000000003,0.328134
ADV,,,0.834924,0.782036,0.7766535,0.7470870000000001,0.7442015,0.738132,,,1.563499,0.9697435000000001,,,,,1.3490799999999998,0.866556,,,0.8609770000000001,0.803741
ADVM,,,1.1966729999999999,1.1718705,1.2132505,1.1592440000000002,1.2191315,1.119,1.1692809999999998,1.0655755,1.5880435,1.4031555,1.003238,0.981175,,,1.097061,1.1770969999999998,,,1.1283889999999999,1.127752
AEE,,,0.2728935,0.259027,0.26914499999999997,0.25377550000000004,0.261859,0.24369649999999998,,,0.246486,0.253591,,,,,0.25728449999999997,0.26220299999999996,,,0.2735575,0.2562665
AEG,,,0.492155,0.5553440000000001,0.492155,0.5553440000000001,,,,,0.492155,0.5553440000000001,,,,,0.492155,0.5553440000000001,,,0.492155,0.5553440000000001
AEGN,,,0.423347,0.484638,0.447871,0.5048855,0.493561,0.522765,,,0.4931845,0.4987825,,,,,0.487468,0.5086815,,,0.42105499999999996,0.48050100000000007
AEIS,,,0.48627699999999996,0.470477,0.486936,0.4716005,0.487788,0.4726,,,0.5186585,0.4818175,,,,,0.497423,0.470563,,,0.490796,0.46837799999999996
AEL,,,0.4791215,0.4429345,0.47236199999999995,0.4508605,0.4713675,0.454155,,,0.5237195,0.49077000000000004,,,,,0.5343385,0.473498,,,0.5008515,0.4493195
AEM,,,0.421528,0.4095345,0.4142625,0.3993045,0.41162699999999997,0.39540549999999997,0.41059999999999997,0.3980595,0.446024,0.4193425,0.408827,0.4033615,0.40842,0.403444,0.4329655,0.40222100000000005,0.4080965,0.4027725,0.425322,0.40729099999999996
