"","ticker","secid","gvkey","cusip","addzip","gind","gsector","gsubind","state","spcsrc","sigma_term_m","sigma_term_bs","sigma_time_10","sigma_time_30","sigma_time_60","sigma_time_91","sigma_time_122","sigma_time_152","sigma_time_182","sigma_time_273","sigma_time_365","sigma_time_547","sigma_time_730","RI10_m","RI30_m","RI60_m","RI91_m","RI122_m","RI152_m","RI182_m","RI273_m","RI365_m","RI547_m","RI730_m","RI10_bs","RI30_bs","RI60_bs","RI91_bs","RI122_bs","RI152_bs","RI182_bs","RI273_bs","RI365_bs","RI547_bs","RI730_bs","gelection","sector","tight","margin2","margin5","tight_c","margin2_c","margin5_c","margin5_p","closeness","uncertain","dem_win","emovet","emove2","emove5","emovet_c","emove2_c","emove5_c","emove5_p","emoveclose","unemploy_aug","unemploy_sep","unemploy_oct","gdp"
"1","MPAA",8170,"029930","62007110","90503","251010","25","25101010","CA","C",-0.00112568472196428,0.000384904745178551,NA,-0.0148755478824107,-0.0286254110428572,-0.0338415380690833,-0.0479364376226924,-0.0501477062930793,-0.042932427344625,NA,NA,NA,NA,NA,0.000458328772014881,0.000458328772014881,0.000359514871946363,0.000383694695907608,0.000322513299809967,0.000229707377047586,NA,NA,NA,NA,NA,0.000508681754252976,0.000483505263133928,0.00037611475620068,0.000396076576785828,0.000332451388409591,0.000238007319174745,NA,NA,NA,NA,1,"25",0,0,0,0,0,0,0,1.94183421835847e-10,0,1,0,0,0,0,0,0,0,1.94183421835847e-10,3.8,4,4.1,3172373.5
"2","AIR",100862,"001004","36110","60191","201010","20","20101010","IL","B",-0.0112433529745833,-0.00409875723125,NA,-0.00584799011586309,-0.00045262725714285,0.00869624700939583,0.00415909794543653,-0.0135537000876191,-0.0197877252886805,NA,NA,NA,NA,NA,-0.000179845428624008,-0.000179845428624008,-0.00021911648334043,-0.000126249597705081,1.51996520594455e-05,4.69471006269074e-05,NA,NA,NA,NA,NA,5.83077628204365e-05,-6.07688329017858e-05,-0.000140604442204899,-6.7687337513824e-05,6.22035714234806e-05,8.6203121194673e-05,NA,NA,NA,NA,1,"20",0,0,1.22124532708767e-15,3.75148227482747e-07,1.07905848093504e-05,0.000692231242636621,0,7.25232182544762e-07,0,-1,0,0,-1.22124532708767e-15,-3.75148227482747e-07,-1.07905848093504e-05,-0.000692231242636621,0,-7.25232182544762e-07,4.5,4.6,4.6,861607.8
"3","AFL",100892,"001449","105510","31999","403010","40","40301020","GA","A-",-0.000672429602142854,0.000562650796607143,-0.000565464961031747,-0.000408636734404761,-0.000144843866666668,-0.000329001183062496,-0.00105547922054166,-0.00255648455587304,-0.002884933324,-0.00324926947799999,-0.00504963769156249,-0.0102505464679008,-0.0192335752384027,-1.06964641111107e-05,-8.79309559126976e-06,-8.79309559126976e-06,-3.77393867121272e-06,3.13975097048204e-06,1.23950983798039e-05,1.2156613856358e-05,9.43897390423861e-06,1.19923509299168e-05,1.75102684931589e-05,2.54262268989861e-05,0.000112811575763889,3.23762510337301e-05,1.17915777212302e-05,9.79837340296307e-06,1.32633607963017e-05,2.05206273189486e-05,1.89427698934458e-05,1.39630779289639e-05,1.53761328443004e-05,1.97681851270711e-05,2.71181178561779e-05,1,"40",0,4.42124115096476e-12,0.00041322710929359,0.00290086797315836,0.0197576000170286,0.156539781113652,0,0.000377389743878774,1,-1,0,-4.42124115096476e-12,-0.00041322710929359,-0.00290086797315836,-0.0197576000170286,-0.156539781113652,0,-0.000377389743878774,3.1,3.1,3.1,656752.4
"4","AGCO",100896,"025180","108410","30096","201060","20","20106015","GA","B+",-0.00045552086011904,-0.00439583564875,NA,-0.00132650828568452,-0.00219749571125,-0.00159212538225,-0.00188230831756943,-0.00403369595857936,-0.00520096802820834,-0.00531107471510416,-0.00500012989579378,NA,NA,NA,2.9032914185516e-05,2.9032914185516e-05,1.24901595838567e-05,1.16949791594294e-05,2.35406256477652e-05,2.60738855389522e-05,1.77859115567221e-05,1.24509836593828e-05,NA,NA,NA,-0.000102310912102183,-3.66389989583333e-05,-3.08100029285714e-05,-2.06026830424637e-05,-2.38249796164894e-06,4.42380428273815e-06,3.35252405257937e-06,1.65560067683228e-06,NA,NA,1,"20",0,4.42124115096476e-12,0.00041322710929359,0.00290086797315836,0.0197576000170286,0.156539781113652,0,0.000377389743878774,1,-1,0,-4.42124115096476e-12,-0.00041322710929359,-0.00290086797315836,-0.0197576000170286,-0.156539781113652,0,-0.000377389743878774,3.1,3.1,3.1,656752.4
"5","AES",100900,"024216","00130H10","22203","551050","55","55105010","VA","B-",0.00212745673642858,0.00156237703285715,NA,0.000595548454910713,-0.000936359826607156,-0.00186993677830556,-0.00211767266533334,-0.0012092146155,-0.000651202366208272,0.0011892646894375,0.00853011073013388,0.012731591626619,0.0143665306374108,NA,5.1063609383929e-05,5.1063609383929e-05,4.39274012608147e-05,3.47961426373928e-05,2.19517852100565e-05,1.52673577067959e-05,3.43660090472923e-06,-1.75415177909734e-05,-1.93859870021763e-05,-1.67658546588797e-05,NA,3.22276192648811e-05,4.1645614324405e-05,3.77177341886011e-05,3.01643417884466e-05,1.8234155581297e-05,1.21625241706891e-05,1.36671188065803e-06,-1.9089681362402e-05,-2.04190394767128e-05,-1.7539936444594e-05,0,"55",0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,2.8,3,3.1,579863
"6","PLD",100906,"029984","74340W10","94111","601025","60","60102510","CA","A-",-0.000473534592559515,-0.0017948673642857,NA,-0.000737237914136905,-0.00100094123571429,-0.000837764954000001,-0.000839871443365071,-0.00116158477266666,-0.00146596659444444,-0.00251767024031247,-0.00365329948702382,-0.00386293920921134,-0.00287808050027789,NA,8.79011071924633e-06,8.79011071924633e-06,4.00253144440095e-06,3.00276107217669e-06,4.52664592175755e-06,5.4529230872798e-06,7.48767636539542e-06,8.71168464236797e-06,6.1963521328187e-06,3.29389850372381e-06,NA,-3.52543150049599e-05,-1.32321021428568e-05,-1.05176089042385e-05,-7.82783541738223e-06,-4.16633283959894e-06,-1.80714708703991e-06,2.64762958251562e-06,5.09159485681677e-06,3.78075291576899e-06,1.48385361094821e-06,1,"60",0,0,0,0,0,0,0,1.94183421835847e-10,0,1,0,0,0,0,0,0,0,1.94183421835847e-10,3.8,4,4.1,3172373.5
"7","CLFD",100919,"012482","18482P10","55428","452010","45","45201020","MN","B",-0.00127232417809519,6.72625580952577e-05,NA,0.00201459890761904,0.00530152199333328,-0.00179583824044443,-0.00209914883708939,2.99040645634491e-05,0.00410877029531935,NA,NA,NA,NA,NA,-0.000109564102857141,-0.000109564102857141,5.75290178405756e-06,6.77725130323115e-06,-8.56729107012265e-06,-2.95664531506294e-05,NA,NA,NA,NA,NA,-6.49112116507928e-05,-8.7237657253967e-05,2.04736351487878e-05,1.77574704523332e-05,2.45779562709268e-07,-2.22060864682643e-05,NA,NA,NA,NA,1,"45",0.000598051856266713,0.0227278423792824,0.443808140548196,0.0243864166173313,0.111854239805476,0.465750387733391,0,0.00536398238757279,1,1,0.000598051856266713,0.0227278423792824,0.443808140548196,0.0243864166173313,0.111854239805476,0.465750387733391,0,0.00536398238757279,2.7,2.9,3,381892.4
"8","SRPT",100958,"064857","80360710","02142","352010","35","35201010","MA","C",-0.00226757339761906,0.00144145984761904,0.000444586594722219,-0.000209317627619038,0.00184893814238099,0.00132863447500695,-0.000483702087174679,-0.000580881418372987,-0.000423957149597153,-9.1420399687612e-05,0.000887355781870125,0.00194192757849197,-0.000509896559374851,-0.000271215999234128,-6.86085256666675e-05,-6.86085256666675e-05,-3.95187678310551e-05,-1.4621895987249e-05,-1.10966577581979e-05,-1.0129759604516e-05,-7.97125640267931e-06,-8.64364158764161e-06,-7.6956142159251e-06,-2.4077764907455e-06,9.96873252896817e-05,5.50259158412691e-05,-6.79130491269917e-06,1.23983925947345e-06,1.57800158589649e-05,1.33048767499475e-05,1.02495439407483e-05,5.61494596083021e-06,1.51809333081893e-06,-9.14931866312486e-07,2.67309096848478e-06,1,"35",0,0,0,2.98649993624167e-14,1.02795549850043e-12,1.36341271606e-10,0,2.27573620802501e-14,1,1,0,0,0,2.98649993624167e-14,1.02795549850043e-12,1.36341271606e-10,0,2.27573620802501e-14,3.9,3.7,3.8,600198
"9","AXTI",100963,"110760","00246W10","94538-6339","453010","45","45301010","CA","B-",-0.00786580312089284,-0.0161827864423214,NA,0.003642157025,0.0151501171708928,0.0539218500705625,0.0663300715865396,0.0568134596353571,0.0587660274283333,NA,NA,NA,NA,NA,-0.000383598671529761,-0.000383598671529761,-0.000678985199906103,-0.000608162907437971,-0.000425521465501645,-0.000366108959061682,NA,NA,NA,NA,NA,-0.000660831448910714,-0.000522215060220238,-0.000770380621020703,-0.00067633490187591,-0.000480238461037359,-0.000411806669618982,NA,NA,NA,NA,1,"45",0,0,0,0,0,0,0,1.94183421835847e-10,0,1,0,0,0,0,0,0,0,1.94183421835847e-10,3.8,4,4.1,3172373.5
"10","AZZ",100964,"001926","247410","76107","201020","20","20102010","TX","B",0.000103066996666665,-2.56749342857142e-05,NA,-0.000503116199523807,-0.00110929939571428,-0.0017203560558889,-0.00177786122987299,-0.000789698338293649,-0.000582613393013896,NA,NA,NA,NA,NA,2.02061065396824e-05,2.02061065396824e-05,2.00376159621491e-05,1.54174444798333e-05,5.8734561510547e-06,3.76747466857451e-06,NA,NA,NA,NA,NA,1.59147088412698e-05,1.80604076904761e-05,1.86228694681669e-05,1.43621827507154e-05,5.0264697632101e-06,3.06010142158342e-06,NA,NA,NA,NA,1,"20",8.94284646335564e-13,1.59212893979799e-07,0.0137118056272313,0.00304813936762927,0.0233665399760771,0.195462231199644,0,0.000691828275410955,0,-1,-8.94284646335564e-13,-1.59212893979799e-07,-0.0137118056272313,-0.00304813936762927,-0.0233665399760771,-0.195462231199644,0,-0.000691828275410955,3.7,3.8,3.9,1925677.5
