"","ticker","secid","gvkey","cusip","addzip","gind","gsector","gsubind","state","spcsrc","vol_30_0","vol_30_1","vol_60_0","vol_60_1","sigma_term_m","sigma_term_bs","sigma_term_bs1","baseline0","baseline1","s_sigma_term_bs0","s_sigma_term_bs1","sigma_time_10","sigma_time_30","sigma_time_60","sigma_time_91","sigma_time_122","sigma_time_152","sigma_time_182","sigma_time_273","sigma_time_365","sigma_time_547","sigma_time_730","RI10_m","RI30_m","RI60_m","RI91_m","RI122_m","RI152_m","RI182_m","RI273_m","RI365_m","RI547_m","RI730_m","RI10_bs","RI30_bs","RI60_bs","RI91_bs","RI122_bs","RI152_bs","RI182_bs","RI273_bs","RI365_bs","RI547_bs","RI730_bs","gelection","sector","dem_mean","rep_mean","first_dem","first_rep","std","std_c","uncertain","dem_win","inc_win","incparty_win","surprise","min_mean","min_first","tight","margin1","margin2","tight_c","margin1_c","margin2_c","margin2_p","closeness","margin","dem","inc","incparty","emovet_party","emove1_party","emove2_party","emovet_c_party","emove1_c_party","emove2_c_party","emove2_p_party","emoveclose_party","emoveuncertain_party","emovet_inc","emove1_inc","emove2_inc","emovet_c_inc","emove1_c_inc","emove2_c_inc","emove2_p_inc","emoveclose_inc","emoveuncertain_inc","emovet_incparty","emove1_incparty","emove2_incparty","emovet_c_incparty","emove1_c_incparty","emove2_c_incparty","emove2_p_incparty","emoveclose_incparty","emoveuncertain_incparty","unemploy_aug","unemploy_sep","unemploy_oct","gdp"
"1","WWR",6646,"015240","96168420","80112","201040","20","20104010","CO","C",1.178505,NA,1.178505,NA,NA,0,NA,0.00551140490089286,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"20",56.4852553484205,43.5147446515795,55.6701031,44.3298969,0.49630843190973,1.68367346938776,0.375,1,-1,-1,0,43.5147446515795,44.3298969,0,0,0,0.000378993433247876,0.00106768826130677,0.00277064235286284,0,2.32797749126818e-06,0.0770979665622224,1,0,0,0,0,0,0.000378993433247876,0.00106768826130677,0.00277064235286284,0,2.32797749126818e-06,0.375,0,0,0,-0.000378993433247876,-0.00106768826130677,-0.00277064235286284,0,-2.32797749126818e-06,-0.375,0,0,0,-0.000378993433247876,-0.00106768826130677,-0.00277064235286284,0,-2.32797749126818e-06,-0.375,2.6,2.8,2.8,416776.3
"2","MPAA",8170,"029930","62007110","90503","251010","25","25101010","CA","C",0.52547,0.6333035,0.5239295,0.6282745,-0.00112568472196428,0.000384904745178551,0.00151058946714285,0.00108287905174802,0.0015412078237629,0.355445739353094,0.98013353154068,NA,-0.0148755478824107,-0.0286254110428572,-0.0338415380690833,-0.0479364376226924,-0.0501477062930793,-0.042932427344625,NA,NA,NA,NA,NA,0.000458328772014881,0.000458328772014881,0.000359514871946363,0.000383694695907608,0.000322513299809967,0.000229707377047586,NA,NA,NA,NA,NA,0.000508681754252976,0.000483505263133928,0.00037611475620068,0.000396076576785828,0.000332451388409591,0.000238007319174745,NA,NA,NA,NA,1,"25",61.1811089650815,38.8188910349185,60.2150538,39.7849462,0.732424458744004,2.3469387755102,0,1,-1,-1,0,38.8188910349185,39.7849462,0,0,0,6.72965723957919e-06,1.74063885856057e-05,4.31108094199883e-05,0,1.94183421835847e-10,0.0447182834512655,1,0,0,0,0,0,6.72965723957919e-06,1.74063885856057e-05,4.31108094199883e-05,0,1.94183421835847e-10,0,0,0,0,-6.72965723957919e-06,-1.74063885856057e-05,-4.31108094199883e-05,0,-1.94183421835847e-10,0,0,0,0,-6.72965723957919e-06,-1.74063885856057e-05,-4.31108094199883e-05,0,-1.94183421835847e-10,0,3.8,4,4.1,3172373.5
"3","AAON",100861,"021542","36020","74107","201020","20","20102010","OK","A-",0.341126,0.327156,0.350049,0.343808,0.00119179476261906,-0.00146841774404761,-0.00266021250666667,0.00051072086081746,0.000513400132507936,-2.87518653868428,-5.18155788872054,NA,0.00111141661190477,0.00103103846119047,0.00147524897722223,0.00162195220360118,0.00209904676857143,NA,NA,NA,NA,NA,NA,2.67927169047638e-06,2.67927169047638e-06,-3.11488147915577e-06,-3.52588066378791e-06,-5.96876319705507e-06,NA,NA,NA,NA,NA,NA,-8.59944785317459e-05,-4.16576034206348e-05,-3.23479859480203e-05,-2.5330901210236e-05,-2.34701612672305e-05,NA,NA,NA,NA,NA,1,"20",48.2964888738786,51.7035111261214,48.4210526,51.5789474,0.589711508905591,1.93877551020408,1.25,-1,-1,-1,0,48.2964888738786,48.4210526,0.00193406986606326,0.020633004934607,0.116439569200593,0.207706645546098,0.28893122865841,0.382616919158934,0,0.0331397353695684,0.293511437837452,0,0,0,-0.00193406986606326,-0.020633004934607,-0.116439569200593,-0.207706645546098,-0.28893122865841,-0.382616919158934,0,-0.0331397353695684,-1.25,-0.00193406986606326,-0.020633004934607,-0.116439569200593,-0.207706645546098,-0.28893122865841,-0.382616919158934,0,-0.0331397353695684,-1.25,-0.00193406986606326,-0.020633004934607,-0.116439569200593,-0.207706645546098,-0.28893122865841,-0.382616919158934,0,-0.0331397353695684,-1.25,3.2,3.2,3.2,192133.9
"4","AIR",100862,"001004","36110","60191","201010","20","20101010","IL","B",0.354707,0.4182585,0.3781955,0.3807005,-0.0112433529745833,-0.00409875723125,0.00714459574333332,0.000635899272188492,0.000456053843564485,-6.44560767799567,15.6661232969591,NA,-0.00584799011586309,-0.00045262725714285,0.00869624700939583,0.00415909794543653,-0.0135537000876191,-0.0197877252886805,NA,NA,NA,NA,NA,-0.000179845428624008,-0.000179845428624008,-0.00021911648334043,-0.000126249597705081,1.51996520594455e-05,4.69471006269074e-05,NA,NA,NA,NA,NA,5.83077628204365e-05,-6.07688329017858e-05,-0.000140604442204899,-6.7687337513824e-05,6.22035714234806e-05,8.6203121194673e-05,NA,NA,NA,NA,1,"20",57.0683869907878,42.9316130092122,53.8461538,46.1538462,0.57734491879093,1.42857142857143,0.375,1,-1,-1,0,42.9316130092122,46.1538462,0,0,0,0.00354797261549722,0.00958245468294816,0.0231686558813864,0,7.25232182544762e-07,0.0707374964969591,1,0,0,0,0,0,0.00354797261549722,0.00958245468294816,0.0231686558813864,0,7.25232182544762e-07,0.375,0,0,0,-0.00354797261549722,-0.00958245468294816,-0.0231686558813864,0,-7.25232182544762e-07,-0.375,0,0,0,-0.00354797261549722,-0.00958245468294816,-0.0231686558813864,0,-7.25232182544762e-07,-0.375,4.5,4.6,4.6,861607.8
"5","ABCB",100863,"030222","03076K10","30305","401010","40","40101015","GA","B+",0.3879155,0.422653,0.350229,0.390613,0.000419295252202391,0.00662335302363095,0.00620405777142857,0.000376358213260913,0.000502069337813492,17.5985345616445,12.3569740355927,NA,-0.003352038484375,-0.00712337222095238,-0.00999813815000001,-0.0052661438702381,-0.0061018900471746,NA,NA,NA,NA,NA,NA,0.00012571112455258,0.00012571112455258,0.000114477290134092,4.6601960020004e-05,4.29025348643223e-05,NA,NA,NA,NA,NA,NA,0.000332513050266865,0.000229112087409722,0.00018265374916078,9.74548925726971e-05,8.37187044131944e-05,NA,NA,NA,NA,NA,1,"40",46.0588839494345,53.9411160505655,46.9387755,53.0612245,0.430984186341122,1.42857142857143,1.625,-1,-1,-1,0,46.0588839494345,46.9387755,0,6.66133814775094e-16,4.42124115096476e-12,0.0160622853169634,0.036497884251378,0.0745303580461125,0,0.000377389743878774,0.126867616579891,0,0,0,0,-6.66133814775094e-16,-4.42124115096476e-12,-0.0160622853169634,-0.036497884251378,-0.0745303580461125,0,-0.000377389743878774,-1.625,0,-6.66133814775094e-16,-4.42124115096476e-12,-0.0160622853169634,-0.036497884251378,-0.0745303580461125,0,-0.000377389743878774,-1.625,0,-6.66133814775094e-16,-4.42124115096476e-12,-0.0160622853169634,-0.036497884251378,-0.0745303580461125,0,-0.000377389743878774,-1.625,3.1,3.1,3.1,656752.4
"6","ABM",100885,"001410","95710","10006","202010","20","20201050","NY","A-",0.3712505,0.35335,0.3789095,0.4623805,0.0198081021048214,-0.00136797034285715,-0.0211760724476786,0.000592531288215278,0.00120133028198611,-2.30868879005109,-17.6271860996204,NA,0.00154413229169643,-0.0167198375214286,-0.0232283465514931,-0.00441642206989684,-0.00394239615610319,NA,NA,NA,NA,NA,NA,0.000608798993770834,0.000608798993770834,0.000472928007212247,0.000198561673563265,0.000156253278032399,NA,NA,NA,NA,NA,NA,-9.70700878184524e-05,0.000255864452976191,0.000240223914380614,2.49873092380303e-05,1.69370119292503e-05,NA,NA,NA,NA,NA,1,"20",53.5922023524348,46.4077976475652,54.4444444,45.5555556,0.413116919906299,2.3469387755102,1.125,1,-1,-1,0,46.4077976475652,45.5555556,0,3.574918139293e-14,1.75106595889929e-10,0.0291311066894031,0.0464129023022699,0.0711019924630665,0,0.000758320297981855,0.139190377084716,1,0,0,0,3.574918139293e-14,1.75106595889929e-10,0.0291311066894031,0.0464129023022699,0.0711019924630665,0,0.000758320297981855,1.125,0,-3.574918139293e-14,-1.75106595889929e-10,-0.0291311066894031,-0.0464129023022699,-0.0711019924630665,0,-0.000758320297981855,-1.125,0,-3.574918139293e-14,-1.75106595889929e-10,-0.0291311066894031,-0.0464129023022699,-0.0711019924630665,0,-0.000758320297981855,-1.125,3.9,4,4.2,1762884.2
"7","AFL",100892,"001449","105510","31999","403010","40","40301020","GA","A-",0.244884,0.251795,0.2400105,0.2412745,-0.000672429602142854,0.000562650796607143,0.00123508039875,0.000219213915732143,0.000210420820140873,2.56667463252946,5.86957316259455,-0.000565464961031747,-0.000408636734404761,-0.000144843866666668,-0.000329001183062496,-0.00105547922054166,-0.00255648455587304,-0.002884933324,-0.00324926947799999,-0.00504963769156249,-0.0102505464679008,-0.0192335752384027,-1.06964641111107e-05,-8.79309559126976e-06,-8.79309559126976e-06,-3.77393867121272e-06,3.13975097048204e-06,1.23950983798039e-05,1.2156613856358e-05,9.43897390423861e-06,1.19923509299168e-05,1.75102684931589e-05,2.54262268989861e-05,0.000112811575763889,3.23762510337301e-05,1.17915777212302e-05,9.79837340296307e-06,1.32633607963017e-05,2.05206273189486e-05,1.89427698934458e-05,1.39630779289639e-05,1.53761328443004e-05,1.97681851270711e-05,2.71181178561779e-05,1,"40",46.0588839494345,53.9411160505655,46.9387755,53.0612245,0.430984186341122,1.42857142857143,1.625,-1,-1,-1,0,46.0588839494345,46.9387755,0,6.66133814775094e-16,4.42124115096476e-12,0.0160622853169634,0.036497884251378,0.0745303580461125,0,0.000377389743878774,0.126867616579891,0,0,0,0,-6.66133814775094e-16,-4.42124115096476e-12,-0.0160622853169634,-0.036497884251378,-0.0745303580461125,0,-0.000377389743878774,-1.625,0,-6.66133814775094e-16,-4.42124115096476e-12,-0.0160622853169634,-0.036497884251378,-0.0745303580461125,0,-0.000377389743878774,-1.625,0,-6.66133814775094e-16,-4.42124115096476e-12,-0.0160622853169634,-0.036497884251378,-0.0745303580461125,0,-0.000377389743878774,-1.625,3.1,3.1,3.1,656752.4
"8","AGCO",100896,"025180","108410","30096","201060","20","20106015","GA","B+",0.3423245,0.35823,0.368305,0.3806285,-0.00045552086011904,-0.00439583564875,-0.00394031478863095,0.000611551915673611,0.000640584829859127,-7.1880007830702,-6.15112098345738,NA,-0.00132650828568452,-0.00219749571125,-0.00159212538225,-0.00188230831756943,-0.00403369595857936,-0.00520096802820834,-0.00531107471510416,-0.00500012989579378,NA,NA,NA,2.9032914185516e-05,2.9032914185516e-05,1.24901595838567e-05,1.16949791594294e-05,2.35406256477652e-05,2.60738855389522e-05,1.77859115567221e-05,1.24509836593828e-05,NA,NA,NA,-0.000102310912102183,-3.66389989583333e-05,-3.08100029285714e-05,-2.06026830424637e-05,-2.38249796164894e-06,4.42380428273815e-06,3.35252405257937e-06,1.65560067683228e-06,NA,NA,1,"20",46.0588839494345,53.9411160505655,46.9387755,53.0612245,0.430984186341122,1.42857142857143,1.625,-1,-1,-1,0,46.0588839494345,46.9387755,0,6.66133814775094e-16,4.42124115096476e-12,0.0160622853169634,0.036497884251378,0.0745303580461125,0,0.000377389743878774,0.126867616579891,0,0,0,0,-6.66133814775094e-16,-4.42124115096476e-12,-0.0160622853169634,-0.036497884251378,-0.0745303580461125,0,-0.000377389743878774,-1.625,0,-6.66133814775094e-16,-4.42124115096476e-12,-0.0160622853169634,-0.036497884251378,-0.0745303580461125,0,-0.000377389743878774,-1.625,0,-6.66133814775094e-16,-4.42124115096476e-12,-0.0160622853169634,-0.036497884251378,-0.0745303580461125,0,-0.000377389743878774,-1.625,3.1,3.1,3.1,656752.4
"9","AES",100900,"024216","00130H10","22203","551050","55","55105010","VA","B-",0.3545495,0.347423,0.3451715,0.350822,0.00212745673642858,0.00156237703285715,-0.00056507970357143,0.000446751511405754,0.000497815120789682,3.49719473346817,-1.13511960559785,NA,0.000595548454910713,-0.000936359826607156,-0.00186993677830556,-0.00211767266533334,-0.0012092146155,-0.000651202366208272,0.0011892646894375,0.00853011073013388,0.012731591626619,0.0143665306374108,NA,5.1063609383929e-05,5.1063609383929e-05,4.39274012608147e-05,3.47961426373928e-05,2.19517852100565e-05,1.52673577067959e-05,3.43660090472923e-06,-1.75415177909734e-05,-1.93859870021763e-05,-1.67658546588797e-05,NA,3.22276192648811e-05,4.1645614324405e-05,3.77177341886011e-05,3.01643417884466e-05,1.8234155581297e-05,1.21625241706891e-05,1.36671188065803e-06,-1.9089681362402e-05,-2.04190394767128e-05,-1.7539936444594e-05,0,"55",NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,3,3.1,579863
"10","PLD",100906,"029984","74340W10","94111","601025","60","60102510","CA","A-",0.3344865,0.343619,0.3455715,0.3516015,-0.000473534592559515,-0.0017948673642857,-0.00132133277172619,0.000503802002151785,0.000512592112871032,-3.56264436548417,-2.57774698156278,NA,-0.000737237914136905,-0.00100094123571429,-0.000837764954000001,-0.000839871443365071,-0.00116158477266666,-0.00146596659444444,-0.00251767024031247,-0.00365329948702382,-0.00386293920921134,-0.00287808050027789,NA,8.79011071924633e-06,8.79011071924633e-06,4.00253144440095e-06,3.00276107217669e-06,4.52664592175755e-06,5.4529230872798e-06,7.48767636539542e-06,8.71168464236797e-06,6.1963521328187e-06,3.29389850372381e-06,NA,-3.52543150049599e-05,-1.32321021428568e-05,-1.05176089042385e-05,-7.82783541738223e-06,-4.16633283959894e-06,-1.80714708703991e-06,2.64762958251562e-06,5.09159485681677e-06,3.78075291576899e-06,1.48385361094821e-06,1,"60",61.1811089650815,38.8188910349185,60.2150538,39.7849462,0.732424458744004,2.3469387755102,0,1,-1,-1,0,38.8188910349185,39.7849462,0,0,0,6.72965723957919e-06,1.74063885856057e-05,4.31108094199883e-05,0,1.94183421835847e-10,0.0447182834512655,1,0,0,0,0,0,6.72965723957919e-06,1.74063885856057e-05,4.31108094199883e-05,0,1.94183421835847e-10,0,0,0,0,-6.72965723957919e-06,-1.74063885856057e-05,-4.31108094199883e-05,0,-1.94183421835847e-10,0,0,0,0,-6.72965723957919e-06,-1.74063885856057e-05,-4.31108094199883e-05,0,-1.94183421835847e-10,0,3.8,4,4.1,3172373.5
