state,Date,Sample,Population,MOE,Dem,Rep,Other,Undecided,Base,pdem,prep,,,
AL,10/29/22,616,1415283,0.04,25,60,5,10,85,0.294117647,0.705882353,,,
AK,9/27/22,1282,263752,0.03,47,53,0,0,100,0.47,0.53,,,
AK,9/11/22,1050,263752,0.03,41,59,0,0,100,0.41,0.59,,,
AZ,11/7/22,1094,2559485,0.029,47,51,0,2,98,0.479591837,0.520408163,,,
AZ,11/6/22,550,2559485,0.043,47,50,2,1,97,0.484536082,0.515463918,,,
AZ,11/6/22,450,2559485,0.046,47,49,0,4,96,0.489583333,0.510416667,,,
AZ,11/6/22,1349,2559485,0.03,48,52,0,0,100,0.48,0.52,,,
AZ,11/6/22,560,2559485,0.041,48,50,2,0,98,0.489795918,0.510204082,,,
AZ,11/3/22,501,2559485,0.044,45,49,1,5,94,0.478723404,0.521276596,,,
AZ,11/2/22,550,2559485,0.042,48,51,0,1,99,0.484848485,0.515151515,,,
AZ,11/2/22,500,2559485,0.044,45,47,2,6,92,0.489130435,0.510869565,,,
AZ,11/2/22,1075,2559485,0.029,46,49,0,5,95,0.484210526,0.515789474,,,
AZ,11/2/22,1051,2559485,0.03,47,51,0,2,98,0.479591837,0.520408163,,,
AZ,11/2/22,1157,2559485,0.041,48,47,1,4,95,0.505263158,0.494736842,,,
AZ,11/2/22,1015,2559485,0.043,49,48,1,2,97,0.505154639,0.494845361,,,
AZ,11/2/22,852,2559485,0.042,48,50,1,1,98,0.489795918,0.510204082,,,
AZ,11/1/22,639,2559485,0.039,46,50,0,4,96,0.479166667,0.520833333,,,
AZ,11/1/22,1000,2559485,0.03,47,49,2,2,96,0.489583333,0.510416667,,,
AZ,11/1/22,1000,2559485,0.03,47,50,3,0,97,0.484536082,0.515463918,,,
AR,10/31/22,557,907037,0.04,34,53,4,9,87,0.390804598,0.609195402,,,
AR,10/18/22,835,907037,0.038,41,51,3,5,92,0.445652174,0.554347826,,,
AR,9/15/22,1418,907037,0.034,34,59,3,4,93,0.365591398,0.634408602,,,
AR,9/12/22,835,907037,0.038,40,51,2,7,91,0.43956044,0.56043956,,,
CA,11/6/22,450,10933018,0.046,56,37,7,0,93,0.602150538,0.397849462,,,
CA,11/2/22,802,10933018,0.035,62,38,0,0,100,0.62,0.38,,,
CA,10/31/22,5972,10933018,0.02,58,37,0,5,95,0.610526316,0.389473684,,,
CA,10/27/22,200,10933018,0.07,61,39,0,0,100,0.61,0.39,,,
CA,10/23/22,1060,10933018,0.054,55,36,4,5,91,0.604395604,0.395604396,,,
CA,10/10/22,1013,10933018,0.044,57,35,0,8,92,0.619565217,0.380434783,,,
CO,11/7/22,856,2540680,0.033,54,43,2,1,97,0.556701031,0.443298969,,,
CO,11/5/22,1983,2540680,0.02,55,43,2,0,98,0.56122449,0.43877551,,,
CO,11/1/22,1084,2540680,0.029,50,43,5,2,93,0.537634409,0.462365591,,,
CO,10/29/22,1000,2540680,0.03,54,40,4,2,94,0.574468085,0.425531915,,,
CO,10/29/22,1000,2540680,0.03,54,41,4,1,95,0.568421053,0.431578947,,,
CO,10/27/22,1174,2540680,0.029,50,42,6,2,92,0.543478261,0.456521739,,,
CO,10/19/22,709,2540680,0.044,57,41,2,0,98,0.581632653,0.418367347,,,
CO,10/18/22,600,2540680,0.05,55,40,2,3,95,0.578947368,0.421052632,,,
CO,10/11/22,800,2540680,0.035,52,34,6,8,86,0.604651163,0.395348837,,,
CO,10/11/22,800,2540680,0.035,54,39,0,7,93,0.580645161,0.419354839,,,
CT,10/26/22,1004,1268893,0.03,55,24,8,13,79,0.696202532,0.303797468,,,
CT,10/24/22,500,1268893,0.045,49,43,4,4,92,0.532608696,0.467391304,,,
CT,10/24/22,500,1268893,0.045,50,46,0,4,96,0.520833333,0.479166667,,,
CT,10/23/22,1879,1268893,0.023,56,41,2,1,97,0.577319588,0.422680412,,,
CT,10/21/22,1000,1268893,0.03,52,41,2,5,93,0.559139785,0.440860215,,,
CT,10/21/22,1000,1268893,0.03,53,43,4,0,96,0.552083333,0.447916667,,,
CT,10/18/22,718,1268893,0.04,52,34,4,10,86,0.604651163,0.395348837,,,
CT,10/13/22,1200,1268893,0.028,46,40,5,9,86,0.534883721,0.465116279,,,
CT,10/13/22,1200,1268893,0.028,50,43,0,7,93,0.537634409,0.462365591,,,
DC,11/8/22,,183785,0.03,74,6,20,0,80,0.925,0.075,,,
FL,11/6/22,450,7771399,0.046,41,54,2,3,95,0.431578947,0.568421053,,,
FL,11/6/22,1436,7771399,0.03,42,57,2,-1,99,0.424242424,0.575757576,,,
FL,11/2/22,600,7771399,0.04,40,53,4,3,93,0.430107527,0.569892473,,,
FL,11/2/22,772,7771399,0.039,45,54,1,0,99,0.454545455,0.545454545,,,
FL,11/1/22,550,7771399,0.042,43,53,1,3,96,0.447916667,0.552083333,,,
FL,11/1/22,659,7771399,0.044,42,54,0,4,96,0.4375,0.5625,,,
FL,11/1/22,500,7771399,0.048,41,54,0,5,95,0.431578947,0.568421053,,,
FL,10/31/22,1117,7771399,0.03,43,53,0,4,96,0.447916667,0.552083333,,,
FL,10/28/22,633,7771399,0.033,53,47,0,0,100,0.53,0.47,,,
FL,10/24/22,622,7771399,0.047,41,55,2,2,96,0.427083333,0.572916667,,,
FL,10/23/22,1251,7771399,0.03,42,54,1,3,96,0.4375,0.5625,,,
FL,10/16/22,719,7771399,0.037,40,51,4,5,91,0.43956044,0.56043956,,,
FL,10/15/22,600,7771399,0.04,42,52,0,6,94,0.446808511,0.553191489,,,
FL,10/13/22,685,7771399,0.037,42,52,0,6,94,0.446808511,0.553191489,,,
GA,11/7/22,1214,3953408,0.028,46,52,2,0,98,0.469387755,0.530612245,,,
GA,11/6/22,550,3953408,0.042,45,50,1,4,95,0.473684211,0.526315789,,,
GA,11/6/22,450,3953408,0.046,44,51,1,4,95,0.463157895,0.536842105,,,
GA,11/6/22,1103,3953408,0.029,44,53,2,1,97,0.453608247,0.546391753,,,
GA,11/6/22,1474,3953408,0.03,45,54,1,0,99,0.454545455,0.545454545,,,
GA,11/6/22,579,3953408,0.04,42,56,2,0,98,0.428571429,0.571428571,,,
GA,11/5/22,1077,3953408,0.035,46,53,1,0,99,0.464646465,0.535353535,,,
GA,11/2/22,600,3953408,0.04,43,52,1,4,95,0.452631579,0.547368421,,,
GA,11/2/22,1150,3953408,0.028,41,55,1,3,96,0.427083333,0.572916667,,,
GA,11/2/22,550,3953408,0.054,43,50,3,4,93,0.462365591,0.537634409,,,
GA,11/2/22,1168,3953408,0.038,45,51,0,4,96,0.46875,0.53125,,,
GA,11/2/22,1009,3953408,0.042,45,53,0,2,98,0.459183673,0.540816327,,,
GA,11/2/22,1171,3953408,0.037,45,52,1,2,97,0.463917526,0.536082474,,,
